('CP000880.1/305505-305689', 'CP000880.1/305504-305651')
('BAAW01002863.1/66-252', 'BAAW01002863.1/65-213')
('AETJ01000081.1/40320-40504', 'AETJ01000081.1/40319-40466')
('CAAU01001354.1/1195-1379', 'CAAU01001354.1/1194-1341')
('AEZM01000062.1/34849-35033', 'AEZM01000062.1/34848-34995')
('ABWL02000002.1/36798-36983', 'ABWL02000002.1/36797-36945')
('AEWW01034921.1/36785-37001', 'AEWW01034921.1/36784-36941')
('AESL01000013.1/40319-40503', 'AESL01000013.1/40318-40465')
('ADMX01000265.1/34555-34739', 'ADMX01000265.1/34554-34701')
('CAAW01000085.1/582-765', 'CAAW01000085.1/581-728')
('CP000886.1/335300-335484', 'CP000886.1/335299-335446')
('ADUZ01000768.1/34557-34741', 'ADUZ01000768.1/34556-34703')
('AESO01000076.1/40321-40505', 'AESO01000076.1/40320-40467')
('CAAY01006063.1/67-251', 'CAAY01006063.1/66-213')
('ACDM01000002.1/9240-9424', 'ACDM01000002.1/9239-9386')
('FN392235.1/1169616-1169839', 'FN392235.1/1169615-1169775')
('AETS01000015.1/20127-20311', 'AETS01000015.1/20126-20273')
('AFAE01000036.1/71005-71189', 'AFAE01000036.1/71004-71151')
('CP001655.1/1250976-1251170', 'CP001655.1/1250973-1251129')
('ACXO01000001.1/34537-34721', 'ACXO01000001.1/34536-34683')
('CP000964.1/1260536-1260722', 'CP000964.1/1260535-1260682')
('AESP01000023.1/2658-2842', 'AESP01000023.1/2657-2804')
('AFAB01000136.1/56223-56407', 'AFAB01000136.1/56222-56369')
('ACHR01014606.1/1804-1989', 'ACHR01014606.1/1803-1949')
('AEKA01000153.1/23101-23285', 'AEKA01000153.1/23100-23247')
('AFBO01000484.1/22117-22303', 'AFBO01000484.1/22116-22263')
('AELD01000014.1/36018-36202', 'AELD01000014.1/36017-36164')
('CP001637.1/1192423-1192607', 'CP001637.1/1192422-1192569')
('CP001790.1/1335543-1335756', 'CP001790.1/1335542-1335712')
('AEVY01000007.1/33389-33573', 'AEVY01000007.1/33388-33535')
('CP003047.1/336604-336788', 'CP003047.1/336603-336750')
('ADUB01000370.1/22959-23143', 'ADUB01000370.1/22958-23105')
('ABHR01000031.1/29598-29782', 'ABHR01000031.1/29597-29744')
('AETK01000027.1/40319-40503', 'AETK01000027.1/40318-40465')
('AETV01000008.1/40319-40503', 'AETV01000008.1/40318-40465')
('ADUK01000026.1/36321-36505', 'ADUK01000026.1/36320-36467')
('AESI01000014.1/40319-40503', 'AESI01000014.1/40318-40465')
('AFCJ01000812.1/171-396', 'AFCJ01000812.1/170-317')
('ABFF01000012.1/71677-71861', 'ABFF01000012.1/71676-71823')
('CU928158.2/520241-520425', 'CU928158.2/520240-520387')
('AEHW01000008.1/35554-35738', 'AEHW01000008.1/35553-35700')
('ABHP01000007.1/25024-25208', 'ABHP01000007.1/25023-25170')
('CP000026.1/338819-339003', 'CP000026.1/338818-338965')
('AETU01000049.1/40154-40338', 'AETU01000049.1/40153-40300')
('AEZI01000040.1/57128-57312', 'AEZI01000040.1/57127-57274')
('CP000857.1/1127499-1127683', 'CP000857.1/1127498-1127645')
('ABFH02000001.1/2430502-2430686', 'ABFH02000001.1/2430501-2430648')
('ADVA01000251.1/34553-34737', 'ADVA01000251.1/34552-34699')
('FM200053.1/338853-339037', 'FM200053.1/338852-338999')
('AGFT01124097.1/84-233', 'AGFT01124097.1/83-230')
('FP929040.1/3748026-3748211', 'FP929040.1/3748025-3748171')
('CAAV01001277.1/253-402', 'CAAV01001277.1/252-399')
('M19501.1/5498-5682', 'M19501.1/5497-5644')
('ABHO01000004.1/59948-60132', 'ABHO01000004.1/59947-60094')
('CAAQ01005660.1/1527-1711', 'CAAQ01005660.1/1526-1673')
('CAAT01000053.1/37189-37373', 'CAAT01000053.1/37188-37335')
('ABKY02000002.1/750597-750781', 'ABKY02000002.1/750596-750743')
('AETF01000082.1/40319-40503', 'AETF01000082.1/40318-40465')
('AGFS01105782.1/765-950', 'AGFS01105782.1/764-910')
('AFVX01000002.1/34750-34934', 'AFVX01000002.1/34749-34896')
('AESK01000010.1/40322-40506', 'AESK01000010.1/40321-40468')
('CAAR01000245.1/4151-4335', 'CAAR01000245.1/4150-4297')
('CP000783.1/672565-672751', 'CP000783.1/672564-672710')
('CP003085.1/1223522-1223739', 'CP003085.1/1223521-1223680')
